FID,Length (m),Travel time (minute),Speed (m/hr)
343,681.278,1.022,40000
344,145.866,0.219,40000
345,2677.930,2.678,60000
346,2494.230,2.494,60000
347,844.063,0.844,60000
348,176.668,0.265,40000
349,119.096,0.179,40000
350,853.438,0.853,60000
351,73.440,0.110,40000
352,324.028,0.324,60000
353,72.687,0.109,40000
354,179.348,0.269,40000
355,104.532,0.157,40000
356,125.597,0.188,40000
357,63.273,0.095,40000
358,154.070,0.231,40000
359,935.157,1.403,40000
360,210.249,0.315,40000
361,218.940,0.328,40000
362,46.922,0.070,40000
363,1603.400,2.405,40000
364,74.328,0.111,40000
365,58.048,0.087,40000
366,49.539,0.074,40000
367,111.193,0.167,40000
368,89.727,0.135,40000
369,105.107,0.158,40000
370,154.219,0.231,40000
371,2937.580,2.938,60000
372,2002.190,3.003,40000
373,80.055,0.120,40000
374,640.630,0.961,40000
375,105.887,0.159,40000
376,343.102,0.515,40000
377,77.036,0.116,40000
378,283.878,0.426,40000
379,785.483,1.178,40000
380,1766.450,1.766,60000
381,63.013,0.095,40000
382,1185.740,1.779,40000
383,119.172,0.119,60000
384,509.317,0.764,40000
385,191.513,0.287,40000
386,485.187,0.728,40000
387,402.867,0.604,40000
388,585.870,0.879,40000
389,322.422,0.484,40000
390,23.881,0.036,40000
391,68.430,0.103,40000
392,82.982,0.124,40000
393,55.010,0.083,40000
394,985.826,1.479,40000
395,627.798,0.942,40000
396,588.730,0.883,40000
397,616.847,0.925,40000
398,750.136,0.750,60000
399,188.602,0.189,60000
400,386.380,0.580,40000
401,2586.860,2.587,60000
402,1955.510,1.956,60000
403,179.248,0.269,40000
404,168.252,0.252,40000
405,78.010,0.117,40000
406,569.967,0.570,60000
407,1431.540,2.147,40000
408,291.870,0.438,40000
409,326.654,0.490,40000
410,198.860,0.298,40000
411,168.014,0.252,40000
412,355.576,0.533,40000
413,1228.900,1.843,40000
414,334.770,0.335,60000
415,273.835,0.411,40000
416,725.794,0.726,60000
417,1242.630,1.864,40000
418,1597.610,2.396,40000
419,2709.630,2.710,60000
420,7288.720,7.289,60000
421,955.565,0.956,60000
422,636.796,0.955,40000
423,3069.540,3.070,60000
424,161.622,0.162,60000
425,1642.480,1.642,60000
426,3154.410,3.154,60000
427,2860.330,2.860,60000
428,5898.280,5.898,60000
429,270.492,0.270,60000
430,2831.150,2.831,60000
431,5331.320,5.331,60000
432,1450.720,1.451,60000
433,2579.640,3.869,40000
434,2164.500,2.165,60000
435,1896.420,2.845,40000
436,2463.540,2.464,60000
437,1021.240,1.021,60000
438,82.138,0.082,60000
439,2726.820,2.727,60000
440,102.385,0.102,60000
441,2978.550,2.979,60000
442,1105.460,1.105,60000
443,1737.020,1.737,60000
444,5889.890,5.890,60000
445,103.251,0.103,60000
446,2055.850,3.084,40000
447,203.069,0.203,60000
448,961.438,0.961,60000
449,955.299,1.433,40000
450,129.174,0.129,60000
451,2235.320,2.235,60000
452,1193.100,1.790,40000
453,3761.950,3.762,60000
454,1435.290,2.153,40000
455,846.042,0.846,60000
456,1901.490,2.852,40000
457,2163.100,2.163,60000
458,236.362,0.236,60000
459,1985.120,2.978,40000
460,968.026,0.968,60000
461,289.506,0.434,40000
462,457.779,0.687,40000
463,51.713,0.052,60000
464,2042.220,3.063,40000
465,1792.000,1.792,60000
466,217.581,0.326,40000
467,426.133,0.639,40000
468,266.395,0.400,40000
469,2910.750,2.911,60000
470,1105.830,1.106,60000
471,1996.050,2.994,40000
472,692.211,0.692,60000
473,124.788,0.187,40000
474,61.307,0.061,60000
475,1940.230,2.910,40000
476,2943.840,2.944,60000
477,572.080,0.572,60000
478,1885.520,1.886,60000
479,200.561,0.201,60000
480,483.359,0.725,40000
481,2928.280,2.928,60000
482,222.936,0.334,40000
483,436.802,0.655,40000
484,4130.060,4.130,60000
485,1790.480,2.686,40000
486,275.880,0.414,40000
487,258.154,0.387,40000
488,462.337,0.694,40000
489,230.865,0.346,40000
490,1143.550,1.715,40000
491,206.919,0.310,40000
492,31.603,0.047,40000
493,222.438,0.334,40000
494,260.117,0.390,40000
495,272.314,0.408,40000
496,52.297,0.078,40000
497,56.234,0.084,40000
498,78.232,0.117,40000
499,576.180,0.576,60000
500,250.249,0.375,40000
501,53.241,0.080,40000
502,6789.950,6.790,60000
503,5094.200,5.094,60000
504,1983.610,2.975,40000
505,180.501,0.271,40000
506,437.076,0.656,40000
507,4353.930,4.354,60000
508,287.885,0.432,40000
509,3121.680,3.122,60000
510,523.659,0.785,40000
511,186.637,0.280,40000
512,95.918,0.144,40000
513,151.197,0.227,40000
514,1523.290,2.285,40000
515,410.265,0.615,40000
516,869.516,1.304,40000
517,693.283,1.040,40000
518,214.001,0.321,40000
519,235.901,0.354,40000
520,52.157,0.078,40000
521,419.274,0.629,40000
522,512.463,0.769,40000
523,267.608,0.401,40000
524,118.570,0.178,40000
525,55.573,0.083,40000
526,131.898,0.198,40000
527,422.743,0.634,40000
528,154.912,0.232,40000
529,2375.710,3.564,40000
530,741.775,0.742,60000
