FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
228,21/04/2022,21/04/2022,1690,72,40,1.920,Night,32.969473,13.137295
229,21/04/2022,21/04/2022,1690,73,35,1.020,Night,32.958423,13.113043
230,05/04/2022,05/04/2022,1691,73,28,0.870,Afternoon,32.938292,13.083558
231,05/04/2022,05/04/2022,1691,77,57,4.010,Afternoon,32.944027,13.100238
232,05/04/2022,05/04/2022,1691,77,34,1.010,Afternoon,32.969277,13.136727
233,05/04/2022,05/04/2022,1691,72,34,1.010,Afternoon,32.992652,13.145208
234,06/04/2022,06/04/2022,1691,77,49,2.040,Afternoon,32.945257,13.070002
235,06/04/2022,06/04/2022,1691,77,33,1.000,Afternoon,32.969005,13.082783
236,06/04/2022,06/04/2022,1691,77,36,1.020,Afternoon,32.976122,13.079575
237,06/04/2022,06/04/2022,1691,77,57,5.060,Afternoon,32.986245,13.069378
238,06/04/2022,06/04/2022,1691,76,39,1.820,Afternoon,33.064823,13.068440
239,06/04/2022,06/04/2022,1691,75,49,2.010,Afternoon,33.094688,13.078088
240,06/04/2022,06/04/2022,1691,77,34,1.010,Afternoon,33.112793,13.086327
241,06/04/2022,06/04/2022,1691,77,36,1.020,Afternoon,33.139257,13.083153
242,06/04/2022,06/04/2022,1691,78,48,2.030,Night,33.063232,13.097450
243,06/04/2022,06/04/2022,1691,73,36,1.010,Night,33.038932,13.084142
244,06/04/2022,06/04/2022,1691,76,58,4.060,Night,33.000317,13.091163
245,06/04/2022,06/04/2022,1691,77,51,3.040,Night,32.959445,13.076407
246,07/04/2022,07/04/2022,1691,77,27,0.890,Morning,32.937973,13.083312
247,07/04/2022,07/04/2022,1691,77,60,6.060,Morning,32.950360,13.104200
248,07/04/2022,07/04/2022,1691,76,32,1.020,Morning,33.000050,13.148467
249,07/04/2022,07/04/2022,1691,74,33,1.020,Morning,32.952258,13.106127
250,07/04/2022,07/04/2022,1691,73,33,1.020,Afternoon,32.922910,13.105865
251,07/04/2022,07/04/2022,1691,77,53,3.030,Afternoon,32.940413,13.097673
252,07/04/2022,07/04/2022,1691,77,54,3.040,Afternoon,32.962447,13.125518
253,07/04/2022,07/04/2022,1691,76,36,1.010,Afternoon,32.990078,13.143955
254,07/04/2022,07/04/2022,1691,76,49,3.040,Afternoon,33.006755,13.152217
255,07/04/2022,07/04/2022,1691,76,51,2.770,Afternoon,33.034577,13.170885
256,07/04/2022,07/04/2022,1691,73,29,0.850,Night,32.970577,13.139935
257,07/04/2022,07/04/2022,1691,76,56,4.970,Night,32.961520,13.124375
258,08/04/2022,08/04/2022,1691,72,19,0.630,Night,32.935292,13.082623
259,08/04/2022,08/04/2022,1691,77,56,4.020,Night,32.954880,13.108553
260,08/04/2022,08/04/2022,1691,77,52,4.760,Night,33.036497,13.170098
261,08/04/2022,08/04/2022,1691,71,35,1.020,Night,33.052453,13.175500
262,08/04/2022,08/04/2022,1691,76,34,1.010,Night,32.968017,13.133490
263,08/04/2022,08/04/2022,1691,76,46,2.030,Night,32.955503,13.109273
264,08/04/2022,08/04/2022,1691,74,34,1.010,Night,32.955362,13.109062
