Field ID,Object,Idling Location,Idling Date,Idling_End,Idle Duration (in minutes),Idle Duration (in hours),Driving Shift,X,Y,,,,
543,1690,"2.36 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 23:34,00:45:00,0.75000000000,Night Shift,32.929410,13.070855,,,,
544,1692,"6.89 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 00:58,00:58:00,0.96666666700,Night Shift,32.954815,13.108253,,,,
545,1692,--,13/04/2022,13/04/2022 06:58,00:54:00,0.90000000000,Morning Shift,32.964162,13.180773,,,,
546,1692,"2.39 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 09:17,00:25:00,0.41666666700,Morning Shift,32.928218,13.070885,,,,
547,1692,"2.36 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 09:53,00:18:00,0.30000000000,Morning Shift,32.929232,13.070837,,,,
548,1692,"2.38 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 14:03,00:25:00,0.41666666700,Morning Shift,32.928275,13.070848,,,,
549,1692,"2.36 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 14:43,00:39:00,0.65000000000,Afternoon Shift,32.929308,13.070815,,,,
550,1692,"2.38 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 22:31,00:52:00,0.86666666700,Afternoon Shift,32.928308,13.070772,,,,
551,1692,--,13/04/2022,13/04/2022 23:51,00:25:00,0.41666666700,Night Shift,32.965922,13.179712,,,,
552,1687,"8.22 km from Jabal Umm Jidyan, Sudan (SW)",13/04/2022,13/04/2022 02:58,00:25:00,0.41666666700,Night Shift,33.066327,13.183832,,,,
553,1687,"2.41 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 09:18,00:21:00,0.35000000000,Morning Shift,32.928230,13.071037,,,,
554,1687,"2.43 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 14:36,00:18:00,0.30000000000,Afternoon Shift,32.928350,13.071277,,,,
555,1687,"2.43 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 14:59,00:22:00,0.36666666700,Afternoon Shift,32.928472,13.071338,,,,
556,1687,"2.38 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 16:11,00:21:00,0.35000000000,Afternoon Shift,32.928288,13.070767,,,,
557,1687,--,13/04/2022,13/04/2022 18:33,00:44:00,0.73333333300,Afternoon Shift,33.054287,13.145328,,,,
558,1691,"2.37 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 08:17,00:17:00,0.28333333300,Morning Shift,32.929240,13.070897,,,,
