FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
197,08/04/2022,08/04/2022,1694,76,44,2.020,Night,32.968047,13.133330
198,08/04/2022,08/04/2022,1694,72,32,1.000,Night,32.988015,13.143045
199,09/04/2022,09/04/2022,1694,78,52,3.910,Night,32.941017,13.096103
200,09/04/2022,09/04/2022,1694,71,32,1.010,Night,32.970643,13.139993
201,09/04/2022,09/04/2022,1694,71,30,1.010,Night,32.941595,13.069612
202,09/04/2022,09/04/2022,1694,71,21,0.690,Night,32.936750,13.082783
203,09/04/2022,09/04/2022,1694,74,27,0.900,Night,32.940390,13.097837
204,09/04/2022,09/04/2022,1694,75,44,2.030,Night,32.958863,13.114383
205,10/04/2022,10/04/2022,1694,74,28,0.940,Night,32.939280,13.084827
206,10/04/2022,10/04/2022,1694,76,50,3.910,Night,32.945502,13.100497
207,10/04/2022,10/04/2022,1694,73,31,1.010,Night,33.030842,13.152215
208,10/04/2022,10/04/2022,1694,71,31,1.010,Night,33.025453,13.131558
209,11/04/2022,11/04/2022,1694,72,41,2.010,Night,32.928893,13.111943
210,11/04/2022,11/04/2022,1694,75,34,1.020,Night,32.977558,13.205902
211,11/04/2022,11/04/2022,1694,76,26,0.880,Night,32.938445,13.083735
212,11/04/2022,11/04/2022,1694,77,29,0.970,Night,32.943568,13.100300
213,11/04/2022,11/04/2022,1694,76,52,3.010,Night,32.959150,13.119780
214,11/04/2022,11/04/2022,1694,77,32,1.010,Night,32.989250,13.143695
215,11/04/2022,11/04/2022,1694,77,33,1.000,Night,33.050192,13.174220
216,11/04/2022,11/04/2022,1694,76,35,1.020,Night,33.048210,13.173010
217,11/04/2022,11/04/2022,1694,72,32,1.010,Night,33.007783,13.153248
218,11/04/2022,11/04/2022,1694,71,32,1.010,Night,32.984070,13.141290
219,11/04/2022,11/04/2022,1694,76,33,0.990,Night,32.969043,13.136275
220,11/04/2022,11/04/2022,1694,77,37,1.020,Night,32.959402,13.120752
221,11/04/2022,11/04/2022,1694,76,36,1.010,Night,32.951388,13.105323
222,11/04/2022,11/04/2022,1694,73,35,1.020,Night,33.035995,13.134223
223,11/04/2022,11/04/2022,1694,77,58,5.970,Night,32.947355,13.101347
224,12/04/2022,12/04/2022,1694,73,32,1.010,Night,32.972498,13.141333
225,12/04/2022,12/04/2022,1694,71,23,0.780,Night,32.941098,13.095808
226,13/04/2022,13/04/2022,1694,72,23,0.780,Night,32.941422,13.095115
227,13/04/2022,13/04/2022,1694,71,34,1.020,Night,32.959182,13.119785
228,13/04/2022,13/04/2022,1694,77,44,2.030,Night,32.968788,13.135413
229,13/04/2022,13/04/2022,1694,72,33,1.010,Night,32.966938,13.130625
230,13/04/2022,13/04/2022,1694,75,36,1.010,Night,32.958828,13.114817
