FID,FIELDNO,AREA_FED,Area_Sq_m,PERIMETER 
377,41116,113.860,478212.560,3162.845
378,41117,144.546,607093.065,3365.282
379,41118,139.689,586695.581,3329.023
380,41120,125.057,525240.173,3486.125
381,41119,140.448,589881.286,3401.915
382,41121,132.142,554996.579,3576.147
383,41201,165.415,694743.695,3889.312
384,41202,142.393,598048.660,3873.094
385,41203,160.757,675179.838,3999.795
386,41204,187.454,787306.275,4244.714
387,41205,162.174,681131.605,4289.030
388,41206,167.720,704423.265,3596.017
389,41207,146.546,615495.125,3689.877
390,41208,200.751,843153.631,4245.034
391,41209,164.628,691438.144,4035.725
392,41210,187.169,786109.971,4009.926
393,41211,128.587,540065.690,3457.443
394,41212,169.868,713443.908,3651.015
395,41213,143.278,601765.766,3554.946
396,41214,156.694,658116.570,3789.598
397,41215,166.912,701028.662,4200.766
398,41218,189.720,796822.810,4309.787
399,41219,135.688,569889.110,4670.578
400,41220,151.450,636091.373,4997.287
401,41221,165.117,693489.579,5164.201
402,41222,153.067,642879.768,4879.284
403,41223,117.893,495149.613,3953.143
404,41517,168.621,708209.848,4034.089
405,41216,183.876,772280.586,4351.222
406,41301,149.711,628784.433,3785.886
407,41302,163.603,687131.118,3699.240
408,41303,142.510,598543.207,3699.977
409,41306,216.717,910210.227,3986.069
410,41304,128.047,537798.837,3166.919
411,41305,150.018,630074.834,3196.962
412,41307,153.769,645827.729,3484.254
413,41308,124.438,522638.936,3039.647
414,41309,178.223,748538.187,3553.297
415,41310,214.447,900677.063,3833.856
416,41311,141.053,592422.663,3992.053
417,41313,163.783,687890.230,4114.879
418,41312,173.724,729641.655,4011.594
419,41314,126.391,530842.636,3846.861
420,41315,117.013,491454.102,3576.643
421,42101,98.537,413857.293,3026.544
422,42102,190.879,801693.469,3734.171
423,42103,182.871,768056.466,3835.938
424,42104,196.179,823951.986,4062.109
425,42105,181.345,761650.855,4185.798
426,42106,179.539,754062.571,4585.446
427,42107,189.129,794340.608,4455.188
428,42108,186.230,782165.231,4279.381
429,42109,179.043,751980.386,3782.456
430,42110,159.792,671124.723,3616.788
431,42111,162.648,683122.406,3787.516
432,42112,167.678,704245.699,4035.532
433,42113,137.639,578083.968,3597.406
434,42114,125.168,525706.772,3120.279
435,42115,177.973,747487.803,5745.874
436,42116,219.699,922734.457,5615.621
437,42117,251.821,1057646.758,5321.066
438,42118,203.035,852747.517,4487.639
439,42201,193.545,812889.910,4217.582
440,42202,210.998,886190.480,4479.172
441,42203,229.906,965605.270,4721.327
442,42204,219.180,920553.935,4786.018
443,42205,209.409,879518.885,4691.005
444,42206,149.748,628943.175,4323.480
445,42207,214.309,900096.925,4956.255
446,42208,209.679,880652.712,5270.242
447,42209,166.948,701180.181,5219.482
448,42210,195.675,821835.090,5287.139
449,42211,145.299,610256.003,4980.811
450,42212,151.763,637404.591,4901.053
451,42213,188.997,793786.696,4949.165
452,42214,190.263,799104.291,5117.746
453,42215,186.896,784962.447,5446.847
454,42216,187.589,787875.556,5739.163
455,42306,116.103,487633.725,3481.068
456,42307,161.812,679610.664,4042.743
457,42308,136.591,573680.798,4197.058
458,42309,174.532,733032.373,4105.983
459,42310,186.874,784872.184,4242.453
460,42311,212.656,893157.286,4333.985
461,42312,195.701,821944.521,4226.225
462,42313,176.989,743354.003,3923.917
463,42314,158.714,666599.400,3461.974
464,42315,86.647,363915.514,2593.742
465,42301,173.366,728138.332,5607.447
466,42302,185.930,780907.277,5300.326
467,42303,168.876,709281.087,4544.270
468,42304,164.413,690534.029,3854.149
469,42305,105.384,442613.510,2893.456
470,51101,87.222,366331.683,2726.002
471,51102,70.890,297736.701,2255.500
472,51103,29.384,123413.628,1634.022
473,51104,122.172,513121.101,2967.251
474,51105,123.103,517030.752,3201.019
475,51106,193.014,810659.308,3932.359
476,51107,145.337,610416.243,3745.985
477,51108,159.433,669619.056,3689.946
478,51109,186.989,785353.557,3910.289
479,51110,197.844,830943.964,3934.016
480,51111,185.087,777365.165,3662.273
481,51112,116.171,487917.382,2903.530
482,51113,168.378,707187.757,3593.017
483,51114,174.761,733996.637,3741.783
484,51115,207.938,873338.838,4124.358
485,51116,187.794,788735.046,3913.510
486,51117,68.693,288510.746,2091.737
487,51204,195.266,820115.233,4212.767
488,51206,208.114,874079.875,4493.069
489,51207,180.725,759044.966,4480.256
490,51208,174.113,731273.021,4348.567
491,51209,208.501,875704.166,4482.993
492,51210,230.620,968604.089,4647.869
493,51211,184.053,773020.707,4544.784
494,51212,209.900,881581.031,4770.643
495,51213,196.563,825564.544,4781.882
496,51214,203.736,855690.685,4900.898
497,51215,196.250,824248.835,5022.523
498,51216,168.118,706096.742,5048.930
499,51217,198.219,832518.781,5157.785
500,51201,168.757,708778.336,3936.394
501,51202,182.753,767561.402,4206.493
502,51203,188.508,791735.101,4182.325
503,51205,170.385,715618.579,4191.768
504,51301,190.872,801663.834,4950.864
505,51302,212.074,890712.749,5184.175
506,51303,213.131,895148.307,5069.099
507,51304,178.102,748027.885,4449.652
508,51305,188.941,793552.256,4030.279
509,51306,140.334,589402.890,3366.996
510,51307,160.504,674118.009,3641.221
511,51308,224.541,943071.875,4534.401
512,51315,185.343,778442.067,4110.575
513,51319,194.068,815086.227,3882.320
514,51309,211.490,888258.672,5170.124
515,51310,201.858,847803.331,5433.168
516,51311,221.005,928220.406,5423.199
517,51312,232.137,974974.403,5201.332
518,51313,152.060,638652.045,4457.924
519,51314,140.407,589708.022,4150.528
520,51316,173.402,728288.411,3786.264
521,51317,215.964,907049.270,4009.078
522,51318,193.299,811856.306,3881.726
523,52102,208.863,877223.558,3835.076
524,52103,184.853,776380.931,4087.841
525,52104,189.946,797772.371,4247.503
526,52105,55.743,234122.470,3560.043
527,52106,217.713,914393.469,4506.576
528,52107,240.506,1010125.514,4693.881
529,52108,86.081,361538.621,3804.730
530,52109,141.431,594010.928,3903.488
531,52110,178.611,750166.323,4305.297
532,52111,194.849,818366.483,4542.715
533,52112,188.348,791062.742,4523.237
534,52113,234.915,986641.421,4995.596
535,52114,187.241,786414.093,5026.783
536,52115,167.447,703277.792,4963.458
537,52116,147.572,619800.451,4532.729
538,52101,118.531,497828.240,3397.320
539,52201,179.625,754424.384,4247.445
540,52202,205.580,863436.605,4262.794
541,52203,195.581,821438.509,4262.024
542,52204,194.136,815369.251,4403.119
543,52205,185.597,779507.367,4396.763
544,52206,179.311,753104.755,4343.929
545,52207,101.440,426049.904,4240.315
546,52208,168.302,706869.766,4696.645
547,52209,195.407,820711.113,4991.497
548,52210,189.332,795195.677,5082.516
549,52211,197.796,830745.059,5108.056
550,52213,195.906,822803.766,5092.158
551,52214,187.828,788878.205,5559.079
552,52212,101.317,425531.210,4664.515
553,52215,168.821,709048.502,5744.913
554,52216,180.704,758955.911,5850.964
555,52217,181.131,760748.549,5937.612
556,52218,186.837,784713.482,6028.750
557,52219,122.891,516140.442,5744.196
558,52301,189.906,797605.718,5453.408
559,52302,203.579,855033.756,5335.819
560,52303,178.769,750830.271,5327.572
